36	Minicystis rosea;Minicystis;Polyangiaceae;Polyangiales;Polyangia;Myxococcota	Minicystis rosea;Minicystis;na;Myxococcales;Deltaproteobacteria;Proteobacteria
37	Limihaloglobus sp001999965;Limihaloglobus;Sedimentisphaeraceae;Sedimentisphaerales;Phycisphaerae;Planctomycetota	Limihaloglobus sulfuriphilus;Limihaloglobus;Sedimentisphaeraceae;Sedimentisphaerales;Phycisphaerae;Planctomycetes
38	Anaerohalosphaera sp002007645;Anaerohalosphaera;Anaerohalophaeraceae;Sedimentisphaerales;Phycisphaerae;Planctomycetota	Anaerohalosphaera lusitana;Anaerohalosphaera;Anaerohalosphaeraceae;Sedimentisphaerales;Phycisphaerae;Planctomycetes
39	Mycobacterium litorale_A;Mycobacterium;Mycobacteriaceae;Mycobacteriales;Actinomycetia;Actinobacteriota	Mycolicibacterium litorale;Mycolicibacterium;Mycobacteriaceae;Corynebacteriales;Actinomycetia;Actinobacteria
40	Riesia sp002074035;Riesia;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Candidatus Riesia sp. GBBU;Candidatus Riesia;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria
41	Kluyvera georgiana_A;Kluyvera;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Kluyvera genomosp. 3;Kluyvera;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria
42	Luteimonas citri_A;Luteimonas;Xanthomonadaceae;Xanthomonadales;Gammaproteobacteria;Proteobacteria	Xanthomonas citri;Xanthomonas;Xanthomonadaceae;Xanthomonadales;Gammaproteobacteria;Proteobacteria
43	Bacillus_A thuringiensis;Bacillus_A;Bacillaceae_G;Bacillales;Bacilli;Firmicutes	Bacillus thuringiensis;Bacillus;Bacillaceae;Bacillales;Bacilli;Firmicutes
44	Anoxybacillus flavithermus;Anoxybacillus;Anoxybacillaceae;Bacillales;Bacilli;Firmicutes	Anoxybacillus flavithermus;Anoxybacillus;Bacillaceae;Bacillales;Bacilli;Firmicutes
45	Caulobacter vibrioides_D;Caulobacter;Caulobacteraceae;Caulobacterales;Alphaproteobacteria;Proteobacteria	Caulobacter vibrioides;Caulobacter;Caulobacteraceae;Caulobacterales;Alphaproteobacteria;Proteobacteria
46	Streptomyces laurentii;Streptomyces;Streptomycetaceae;Streptomycetales;Actinomycetia;Actinobacteriota	Streptomyces laurentii;Streptomyces;Streptomycetaceae;Streptomycetales;Actinomycetia;Actinobacteria
47	Pseudarthrobacter sp002370555;Pseudarthrobacter;Micrococcaceae;Actinomycetales;Actinomycetia;Actinobacteriota	Arthrobacter sp. Hiyo4;Arthrobacter;Micrococcaceae;Micrococcales;Actinomycetia;Actinobacteria
48	Kosakonia sp002886105;Kosakonia;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Enterobacter sp. EA-1;Enterobacter;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria
49	Lysinibacillus sp002973635;Lysinibacillus;Planococcaceae;Bacillales;Bacilli;Firmicutes	Lysinibacillus sp. B2A1;Lysinibacillus;Bacillaceae;Bacillales;Bacilli;Firmicutes
50	Buchnera aphidicola_P;Buchnera;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Buchnera aphidicola;Buchnera;Erwiniaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria
51	Clostridium beijerinckii_D;Clostridium;Clostridiaceae;Clostridiales;Clostridia;Firmicutes_A	Clostridium beijerinckii;Clostridium;Clostridiaceae;Eubacteriales;Clostridia;Firmicutes
52	Faecalibacterium prausnitzii_G;Faecalibacterium;Ruminococcaceae;Oscillospirales;Clostridia;Firmicutes_A	Faecalibacterium prausnitzii;Faecalibacterium;Oscillospiraceae;Eubacteriales;Clostridia;Firmicutes
